BaseRegion,Metric,n_pairs,Cohen_dz,p_value,fdr_p_value,significance
frontal,MT,255,-4.367796215305049,1.4053890479318117e-43,6.25136939822302e-43,True
occipital,MT,262,-3.6530628195279067,1.0045209366574825e-44,1.8219405874033163e-43,True
parietal,MT,239,-2.571188429239187,9.928312829100933e-41,2.1024662461625507e-40,True
temporal,MT,154,-2.3672026299093947,6.660845426388765e-27,1.042567110217372e-26,True
frontal,R1,255,-4.309779670482465,1.4053890479318117e-43,6.25136939822302e-43,True
occipital,R1,262,-3.5140667897785516,1.0161250924722e-44,1.8219405874033163e-43,True
parietal,R1,239,-2.4161348034695074,8.326849793237057e-41,1.873541203478338e-40,True
temporal,R1,154,-2.569800397627306,5.586102732071882e-27,9.140895379753987e-27,True
frontal,R2*,255,-3.12640158772655,1.562842349555755e-43,6.25136939822302e-43,True
occipital,R2*,262,-2.751069743821429,1.5182838228360966e-44,1.8219405874033163e-43,True
parietal,R2*,239,-2.89520395857427,5.854225252043657e-41,1.4050140604904776e-40,True
temporal,R2*,154,-1.9821452596627924,1.0738181590552743e-24,1.3806233473567812e-24,True
frontal,ISOVF,251,1.9437916907962878,2.0729582611105443e-42,6.784227036361781e-42,True
occipital,ISOVF,258,1.3735189627084186,2.463422593206669e-42,7.390267779620008e-42,True
parietal,ISOVF,235,1.6774224351250862,5.041495164670251e-39,9.074691296406452e-39,True
temporal,ISOVF,152,1.9594914100110552,4.047391706962814e-26,5.828244058026453e-26,True
frontal,ICVF,251,-2.8375523026705882,6.9036316285460424e-43,2.4853073862765752e-42,True
occipital,ICVF,258,-3.4273521783026086,5.530714130701874e-44,3.982114174105349e-43,True
parietal,ICVF,235,-2.500718482184969,4.527347884005462e-40,8.578132832852453e-40,True
temporal,ICVF,152,-1.4060873004956929,2.065952383041847e-23,2.4791428596502164e-23,True
frontal,OD,251,-0.2064153670845751,0.0004298934824077657,0.0004298934824077657,True
occipital,OD,258,-3.8848553398899113,4.643392918336923e-44,3.982114174105349e-43,True
parietal,OD,235,-1.073976944112522,8.1352350383359e-31,1.3946117208575828e-30,True
temporal,OD,152,-2.4658029564519137,6.978709396734999e-25,9.304945862313331e-25,True
frontal,FA,246,-2.5334618990019617,6.10681525503848e-42,1.5703239227241804e-41,True
occipital,FA,257,0.2596326631146324,1.2007767266421508e-05,1.2350846331176409e-05,True
parietal,FA,234,-0.8499409474131798,1.2585250668057229e-26,1.8877876002085844e-26,True
temporal,FA,151,0.5411470205772193,9.081981305494055e-11,9.907615969629879e-11,True
frontal,MD,246,2.8317373536670014,4.667271226017717e-42,1.2924751087433678e-41,True
occipital,MD,257,3.8890667785910553,6.690891313158439e-44,4.014534787895064e-43,True
parietal,MD,234,2.4415300287502473,4.443670312087652e-40,8.578132832852453e-40,True
temporal,MD,151,2.225056067990591,2.7512453793661118e-25,3.8094166791223086e-25,True
frontal,g-ratio,251,-0.770475267976011,1.9770598639425968e-23,2.4542812104114994e-23,True
occipital,g-ratio,258,-0.5001015530852575,8.784567377643767e-19,9.882638299849238e-19,True
parietal,g-ratio,235,-0.48852374017916245,8.595325133172025e-19,9.882638299849238e-19,True
temporal,g-ratio,152,-0.2252919492732671,2.153852584270451e-06,2.2805497951098893e-06,True
